"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"214","PGEN_.00g087100","PGEN_.00g087100",0,0,0,0,4.411692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","PGEN_.00g087400","PGEN_.00g087400",0,0,0,0,0.519031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","PGEN_.00g089090","PGEN_.00g089090",0,0,0,0,9.255256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","PGEN_.00g089100","PGEN_.00g089100",0,0,0,0,11.297101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","PGEN_.00g089140","PGEN_.00g089140",0,0,0,0,9.219937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","PGEN_.00g090570","PGEN_.00g090570",0,0,0,0,0.37657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","PGEN_.00g091680","PGEN_.00g091680",0,0,0,0,1.088042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","PGEN_.00g091780","PGEN_.00g091780",0,0,0,0,0.965576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","PGEN_.00g091790","PGEN_.00g091790",0,0,0,0,0.900693,"Q8I335",813394,"","Translation factor GUF1 homolog mitochondrial","Ribosomal back-translocase","GO:0005743;GO:0005525;GO:0003924;GO:0043022;GO:0045727;GO:0006412","GO:0045727;GO:0006412","GO:0005743","GO:0005525;GO:0003924;GO:0043022",NA,NA
"223","PGEN_.00g095180","PGEN_.00g095180",0,0,0,0,1.866811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","PGEN_.00g095190","PGEN_.00g095190",0,0,0,0,5.957189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","PGEN_.00g095210","PGEN_.00g095210",0,0,0,0,2.339952,"P34456",186266,"","Uncharacterized protein F54H12.2","RING-type E3 ubiquitin transferase BIRC3","GO:0005829;GO:0004748;GO:0009263","GO:0009263","GO:0005829","GO:0004748","GO:0055086;GO:1901135","nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process"
"226","PGEN_.00g095220","PGEN_.00g095220",0,0,0,0,1.028178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","PGEN_.00g095720","PGEN_.00g095720",0,0,0,0,0.081397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","PGEN_.00g096200","PGEN_.00g096200",0,0,0,0,16.182569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","PGEN_.00g096750","PGEN_.00g096750",0,0,0,0,0.945333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","PGEN_.00g096920","PGEN_.00g096920",0,0,0,0,3.941342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","PGEN_.00g097470","PGEN_.00g097470",0,0,0,0,0.669166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","PGEN_.00g097950","PGEN_.00g097950",0,0,0,0,0.469052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","PGEN_.00g098150","PGEN_.00g098150",0,0,0,0,0.228262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","PGEN_.00g098880","PGEN_.00g098880",0,0,0,0,672.316586,"O75596;B2R8C4;Q3SX91;Q6UXF5",10143,"CLEC3A","C-type lectin domain family 3 member A","Cartilage-derived C-type lectin","GO:0005615;GO:0030246;GO:0001503;GO:0001501","GO:0001503;GO:0001501","GO:0005615","GO:0030246","GO:0048856","anatomical structure development"
"235","PGEN_.00g098920","PGEN_.00g098920",0,0,0,0,293.505545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","PGEN_.00g098940","PGEN_.00g098940",0,0,0,0,336.100529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","PGEN_.00g098990","PGEN_.00g098990",0,0,0,0,0.232482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","PGEN_.00g099310","PGEN_.00g099310",0,0,0,0,0.32192,"P9WI29;L0T7E9;Q79FS0;Q8VK65",885131,"PPE16","Uncharacterized PPE family protein PPE16","Asparaginyl-tRNA synthetase","","","","",NA,NA
"239","PGEN_.00g099980","PGEN_.00g099980",0,0,0,0,0.225173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","PGEN_.00g100470","PGEN_.00g100470",0,0,0,0,2.111232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","PGEN_.00g100500","PGEN_.00g100500",0,0,0,0,3.459043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","PGEN_.00g100660","PGEN_.00g100660",0,0,0,0,0.369595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","PGEN_.00g100810","PGEN_.00g100810",0,0,0,0,0.236715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","PGEN_.00g100940","PGEN_.00g100940",0,0,0,0,1.233267,"P27473",456971,"IFI44","Interferon-induced protein 44","Non-A non-B hepatitis-associated microtubular aggregates protein","GO:0005737;GO:0006955;GO:0009617","GO:0006955;GO:0009617","GO:0005737","","GO:0002376","immune system process"
"245","PGEN_.00g101050","PGEN_.00g101050",0,0,0,0,2.499199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","PGEN_.00g101410","PGEN_.00g101410",0,0,0,0,0.095826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","PGEN_.00g101820","PGEN_.00g101820",0,0,0,0,0.248772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","PGEN_.00g102290","PGEN_.00g102290",0,0,0,0,0.134085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","PGEN_.00g102370","PGEN_.00g102370",0,0,0,0,267.951449,"P19540",404015,"F9","Coagulation factor IXa heavy chain","Christmas factor","GO:0005615;GO:0005509;GO:0004175;GO:0004252;GO:0007596;GO:0006508;GO:0031638","GO:0007596;GO:0006508;GO:0031638","GO:0005615","GO:0005509;GO:0004175;GO:0004252","GO:0042060;GO:0051604","wound healing;protein maturation"
"250","PGEN_.00g102810","PGEN_.00g102810",0,0,0,0,0.025043,"P04323",NA,"pol","Endonuclease","Sphingolipid activator protein 3","GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074","GO:0015074","","GO:0004190;GO:0004519;GO:0003676;GO:0003964",NA,NA
"251","PGEN_.00g103100","PGEN_.00g103100",0,0,0,0,1.024423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","PGEN_.00g103550","PGEN_.00g103550",0,0,0,0,0.122511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","PGEN_.00g103900","PGEN_.00g103900",0,0,0,0,0.075092,"P09479",395608,"CHRNA1","Acetylcholine receptor subunit alpha","SP9144","GO:0005887;GO:0043005;GO:0045211;GO:0045202;GO:0022848;GO:0030594;GO:0004888;GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0007268;GO:0034220;GO:0050877;GO:0042391;GO:0007165","GO:0005887;GO:0043005;GO:0045211;GO:0045202","GO:0022848;GO:0030594;GO:0004888","GO:0023052;GO:0055085;GO:0023052","signaling;transmembrane transport;signaling"
"254","PGEN_.00g104350","PGEN_.00g104350",0,0,0,0,6.428099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","PGEN_.00g105050","PGEN_.00g105050",0,0,0,0,0.872234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","PGEN_.00g105260","PGEN_.00g105260",0,0,0,0,0.300893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","PGEN_.00g105650","PGEN_.00g105650",0,0,0,0,3.233928,"O54904;Q91V52",26877,"B3galt1","Beta-13-galactosyltransferase 1","UDP-galactose:beta-N-acetyl-glucosamine-beta-13-galactosyltransferase 1","GO:0000139;GO:0016021;GO:0047275;GO:0016757;GO:0008499;GO:0008194;GO:0006682;GO:0030259;GO:0009312;GO:0006486","GO:0006682;GO:0030259;GO:0009312;GO:0006486","GO:0000139;GO:0016021","GO:0047275;GO:0016757;GO:0008499;GO:0008194","GO:0006629;GO:1901135;GO:0006629;GO:0005975;GO:1901135","lipid metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;carbohydrate metabolic process;carbohydrate derivative metabolic process"
"258","PGEN_.00g105980","PGEN_.00g105980",0,0,0,0,2.027105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","PGEN_.00g106510","PGEN_.00g106510",0,0,0,0,0.874358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","PGEN_.00g106810","PGEN_.00g106810",0,0,0,0,0.344717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","PGEN_.00g108880","PGEN_.00g108880",0,0,0,0,3.208504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","PGEN_.00g108960","PGEN_.00g108960",0,0,0,0,0.059648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","PGEN_.00g109370","PGEN_.00g109370",0,0,0,0,1.973235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","PGEN_.00g109450","PGEN_.00g109450",0,0,0,0,0.248426,"Q5SVZ6;D3DPR7;Q7Z3Q4",79830,"ZMYM1","Zinc finger MYM-type protein 1","Brain-specific angiogenesis inhibitor 3","GO:0005634;GO:0046983;GO:0008270","","GO:0005634","GO:0046983;GO:0008270",NA,NA
"265","PGEN_.00g109460","PGEN_.00g109460",0,0,0,0,0.198144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","PGEN_.00g110200","PGEN_.00g110200",0,0,0,0,35.760289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","PGEN_.00g111100","PGEN_.00g111100",0,0,0,0,0.081327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","PGEN_.00g111330","PGEN_.00g111330",0,0,0,0,1.452925,"Q07981",NA,"","NDPYLRF-amide","HeptaFaRP","GO:0005576;GO:0007218","GO:0007218","GO:0005576","","GO:0023052","signaling"
"269","PGEN_.00g111630","PGEN_.00g111630",0,0,0,0,2.13959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","PGEN_.00g111940","PGEN_.00g111940",0,0,0,0,0.578714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","PGEN_.00g112010","PGEN_.00g112010",0,0,0,0,33.140407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","PGEN_.00g112240","PGEN_.00g112240",0,0,0,0,1.189214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","PGEN_.00g112250","PGEN_.00g112250",0,0,0,0,1.126098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","PGEN_.00g112260","PGEN_.00g112260",0,0,0,0,0.89922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","PGEN_.00g113490","PGEN_.00g113490",0,0,0,0,0.858744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","PGEN_.00g113670","PGEN_.00g113670",0,0,0,0,12.223223,"P35448",NA,"thbs1","Thrombospondin-1","Glycoprotein G","GO:0009986;GO:0005783;GO:0031012;GO:0005615;GO:0016529;GO:0005509;GO:0050840;GO:0008201;GO:0007155;GO:0006954;GO:0016525;GO:0006986","GO:0007155;GO:0006954;GO:0016525;GO:0006986","GO:0009986;GO:0005783;GO:0031012;GO:0005615;GO:0016529","GO:0005509;GO:0050840;GO:0008201","GO:0048856","anatomical structure development"
"277","PGEN_.00g113810","PGEN_.00g113810",0,0,0,0,0.090088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","PGEN_.00g114610","PGEN_.00g114610",0,0,0,0,0.091212,"P08913;B0LPF6;Q2I8G2;Q2XN99;Q86TH8;Q9BZK1",150,"ADRA2A","Alpha-2A adrenergic receptor","Alpha-2A adrenoreceptor","GO:0043679;GO:0016323;GO:0005737;GO:0098691;GO:0098982;GO:0098978;GO:0005887;GO:0099061;GO:0099059;GO:0043025;GO:0005886;GO:0043235;GO:0031692;GO:0031696;GO:0004938;GO:0051379;GO:0004930;GO:0032795;GO:0051380;GO:0046982;GO:0042803;GO:0019901;GO:0031996;GO:0030036;GO:0032147;GO:0032148;GO:0002526;GO:0071880;GO:0007189;GO:0071881;GO:0007193;GO:0071875;GO:0032870;GO:0006260;GO:0042596;GO:0007565;GO:0007186;GO:0042593;GO:0050892;GO:1901020;GO:0051926;GO:0045955;GO:0032811;GO:0046676;GO:0061179;GO:0050995;GO:0010700;GO:0070473;GO:0071882;GO:0030168;GO:0030335;GO:0008284;GO:0001819;GO:0045741;GO:0043406;GO:0043410;GO:0051044;GO:0043268;GO:0090303;GO:0007265;GO:0035624;GO:2000300;GO:0019229;GO:0007266;GO:0050955;GO:0042311","GO:0030036;GO:0032147;GO:0032148;GO:0002526;GO:0071880;GO:0007189;GO:0071881;GO:0007193;GO:0071875;GO:0032870;GO:0006260;GO:0042596;GO:0007565;GO:0007186;GO:0042593;GO:0050892;GO:1901020;GO:0051926;GO:0045955;GO:0032811;GO:0046676;GO:0061179;GO:0050995;GO:0010700;GO:0070473;GO:0071882;GO:0030168;GO:0030335;GO:0008284;GO:0001819;GO:0045741;GO:0043406;GO:0043410;GO:0051044;GO:0043268;GO:0090303;GO:0007265;GO:0035624;GO:2000300;GO:0019229;GO:0007266;GO:0050955;GO:0042311","GO:0043679;GO:0016323;GO:0005737;GO:0098691;GO:0098982;GO:0098978;GO:0005887;GO:0099061;GO:0099059;GO:0043025;GO:0005886;GO:0043235","GO:0031692;GO:0031696;GO:0004938;GO:0051379;GO:0004930;GO:0032795;GO:0051380;GO:0046982;GO:0042803;GO:0019901;GO:0031996","GO:0007010;GO:0006954;GO:0023052;GO:0023052;GO:0023052;GO:0023052;GO:0023052;GO:0022414;GO:0023052;GO:0022600;GO:0055085;GO:0016192;GO:0023052;GO:0023052;GO:0006629;GO:0023052;GO:0003012;GO:0023052;GO:0042060;GO:0048870;GO:0023052;GO:0023052;GO:0023052;GO:0030163;GO:0042060;GO:0023052;GO:0023052;GO:0016192;GO:0023052;GO:0003013;GO:0023052;GO:0050877;GO:0003013","cytoskeleton organization;inflammatory response;signaling;signaling;signaling;signaling;signaling;reproductive process;signaling;digestive system process;transmembrane transport;vesicle-mediated transport;signaling;signaling;lipid metabolic process;signaling;muscle system process;signaling;wound healing;cell motility;signaling;signaling;signaling;protein catabolic process;wound healing;signaling;signaling;vesicle-mediated transport;signaling;circulatory system process;signaling;nervous system process;circulatory system process"
"279","PGEN_.00g114750","PGEN_.00g114750",0,0,0,0,5.563908,"Q9VUL9;Q8SYT5",39653,"FucTA","Glycoprotein 3-alpha-L-fucosyltransferase A","Core alpha-(13)-fucosyltransferase","GO:0032580;GO:0005797;GO:0016021;GO:0046920;GO:0008417;GO:0018392;GO:0036065;GO:0036071;GO:0007399;GO:0006486","GO:0036065;GO:0036071;GO:0007399;GO:0006486","GO:0032580;GO:0005797;GO:0016021","GO:0046920;GO:0008417;GO:0018392","GO:0048856;GO:1901135","anatomical structure development;carbohydrate derivative metabolic process"
"280","PGEN_.00g115520","PGEN_.00g115520",0,0,0,0,3.470988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","PGEN_.00g116310","PGEN_.00g116310",0,0,0,0,0.482788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","PGEN_.00g116470","PGEN_.00g116470",0,0,0,0,18.424403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","PGEN_.00g116860","PGEN_.00g116860",0,0,0,0,34.865568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","PGEN_.00g117360","PGEN_.00g117360",0,0,0,0,34.429389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","PGEN_.00g117770","PGEN_.00g117770",0,0,0,0,0.315626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","PGEN_.00g117810","PGEN_.00g117810",0,0,0,0,0.98206,"Q68RJ7",100136255,"","Neuronal acetylcholine receptor subunit alpha-9-II","Nicotinic acetylcholine receptor subunit alpha-9-II","GO:0016021;GO:0045211;GO:0022848;GO:0004888","","GO:0016021;GO:0045211","GO:0022848;GO:0004888",NA,NA
"287","PGEN_.00g118170","PGEN_.00g118170",0,0,0,0,0.455574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","PGEN_.00g118240","PGEN_.00g118240",0,0,0,0,0.839888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","PGEN_.00g118520","PGEN_.00g118520",0,0,0,0,0.482788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","PGEN_.00g118900","PGEN_.00g118900",0,0,0,0,0.290585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","PGEN_.00g119450","PGEN_.00g119450",0,0,0,0,0.079363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","PGEN_.00g119630","PGEN_.00g119630",0,0,0,0,0.317302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","PGEN_.00g119800","PGEN_.00g119800",0,0,0,0,0.147677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","PGEN_.00g120340","PGEN_.00g120340",0,0,0,0,5.989012,"Q8HXQ5",281588,"ABCC1","Multidrug resistance-associated protein 1","Leukotriene C(4) transporter","GO:0016324;GO:0016323;GO:0016021;GO:0016328;GO:0016020;GO:0015431;GO:0140359;GO:0008559;GO:0005524;GO:0034040;GO:0042626;GO:0046943;GO:0015562;GO:0034634;GO:0016787;GO:0042910;GO:0140115;GO:0034775;GO:0071716;GO:0045332;GO:0050729;GO:0009410;GO:0099039;GO:0070633;GO:0055085;GO:0042908;GO:1990962","GO:0140115;GO:0034775;GO:0071716;GO:0045332;GO:0050729;GO:0009410;GO:0099039;GO:0070633;GO:0055085;GO:0042908;GO:1990962","GO:0016324;GO:0016323;GO:0016021;GO:0016328;GO:0016020","GO:0015431;GO:0140359;GO:0008559;GO:0005524;GO:0034040;GO:0042626;GO:0046943;GO:0015562;GO:0034634;GO:0016787;GO:0042910","GO:0055085;GO:0055085;GO:0061024;GO:0006954;GO:0061024;GO:0003013","transmembrane transport;transmembrane transport;membrane organization;inflammatory response;membrane organization;circulatory system process"
"295","PGEN_.00g120420","PGEN_.00g120420",0,0,0,0,0.602429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","PGEN_.00g121520","PGEN_.00g121520",0,0,0,0,0.241394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","PGEN_.00g121950","PGEN_.00g121950",0,0,0,0,13.455255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","PGEN_.00g122800","PGEN_.00g122800",0,0,0,0,0.236411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","PGEN_.00g123080","PGEN_.00g123080",0,0,0,0,1.096212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","PGEN_.00g124240","PGEN_.00g124240",0,0,0,0,0.498144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","PGEN_.00g125130","PGEN_.00g125130",0,0,0,0,0.425954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","PGEN_.00g125150","PGEN_.00g125150",0,0,0,0,0.272646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","PGEN_.00g125360","PGEN_.00g125360",0,0,0,0,0.31128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","PGEN_.00g125840","PGEN_.00g125840",0,0,0,0,2.771963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","PGEN_.00g125850","PGEN_.00g125850",0,0,0,0,1.669321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","PGEN_.00g125870","PGEN_.00g125870",0,0,0,0,0.214357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","PGEN_.00g125880","PGEN_.00g125880",0,0,0,0,0.146868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","PGEN_.00g126080","PGEN_.00g126080",0,0,0,0,0.169394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","PGEN_.00g126200","PGEN_.00g126200",0,0,0,0,1.108785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","PGEN_.00g126330","PGEN_.00g126330",0,0,0,0,0.438993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","PGEN_.00g126750","PGEN_.00g126750",0,0,0,0,1.293583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","PGEN_.00g126830","PGEN_.00g126830",0,0,0,0,0.0725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","PGEN_.00g127180","PGEN_.00g127180",0,0,0,0,19.20027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","PGEN_.00g127270","PGEN_.00g127270",0,0,0,0,12.29581,"Q7ZU45;F1RBQ8",393286,"odad4","Outer dynein arm-docking complex subunit 4","Tetratricopeptide repeat protein 25","GO:0042995;GO:0005737;GO:0005856;GO:0060271;GO:0061371;GO:0032474","GO:0060271;GO:0061371;GO:0032474","GO:0042995;GO:0005737;GO:0005856","","GO:0044782;GO:0048856;GO:0048856","cilium organization;anatomical structure development;anatomical structure development"
"315","PGEN_.00g127540","PGEN_.00g127540",0,0,0,0,474.323342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","PGEN_.00g127940","PGEN_.00g127940",0,0,0,0,0.327176,"P69478",314694,"Chst11","Carbohydrate sulfotransferase 11","Chondroitin 4-sulfotransferase 1","GO:0000139;GO:0016021;GO:0047756;GO:0001537;GO:0050659;GO:0008146;GO:0016051;GO:0051216;GO:0002063;GO:0030206;GO:0030204;GO:0048589;GO:0042733;GO:0030326;GO:0048704;GO:0048703;GO:0001701;GO:0043066;GO:0030512;GO:0033037;GO:0036342;GO:0009791;GO:0030166;GO:0042127;GO:0007585","GO:0016051;GO:0051216;GO:0002063;GO:0030206;GO:0030204;GO:0048589;GO:0042733;GO:0030326;GO:0048704;GO:0048703;GO:0001701;GO:0043066;GO:0030512;GO:0033037;GO:0036342;GO:0009791;GO:0030166;GO:0042127;GO:0007585","GO:0000139;GO:0016021","GO:0047756;GO:0001537;GO:0050659;GO:0008146","GO:0005975;GO:0048856;GO:0030154;GO:0048856;GO:0006790;GO:1901135;GO:0006790;GO:1901135;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0048856;GO:0012501;GO:0023052;GO:0048856;GO:0048856;GO:1901135","carbohydrate metabolic process;anatomical structure development;cell differentiation;anatomical structure development;sulfur compound metabolic process;carbohydrate derivative metabolic process;sulfur compound metabolic process;carbohydrate derivative metabolic process;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;anatomical structure development;programmed cell death;signaling;anatomical structure development;anatomical structure development;carbohydrate derivative metabolic process"
"317","PGEN_.00g127980","PGEN_.00g127980",0,0,0,0,0.546419,"Q9P215;Q5TIJ1;Q8TE07",57645,"POGK","Pogo transposable element with KRAB domain","Progestin and adipoQ receptor family member V","GO:0005654;GO:0005634;GO:0003677;GO:0006355","GO:0006355","GO:0005654;GO:0005634","GO:0003677","GO:0006351","DNA-templated transcription"
"318","PGEN_.00g128310","PGEN_.00g128310",0,0,0,0,13.221804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","PGEN_.00g129120","PGEN_.00g129120",0,0,0,0,0.045606,"Q9VUL9;Q8SYT5",39653,"FucTA","Glycoprotein 3-alpha-L-fucosyltransferase A","Core alpha-(13)-fucosyltransferase","GO:0032580;GO:0005797;GO:0016021;GO:0046920;GO:0008417;GO:0018392;GO:0036065;GO:0036071;GO:0007399;GO:0006486","GO:0036065;GO:0036071;GO:0007399;GO:0006486","GO:0032580;GO:0005797;GO:0016021","GO:0046920;GO:0008417;GO:0018392","GO:0048856;GO:1901135","anatomical structure development;carbohydrate derivative metabolic process"
"320","PGEN_.00g129480","PGEN_.00g129480",0,0,0,0,0.469052,"P55067",NA,"Ncan","150 kDa adult core glycoprotein","Chondroitin sulfate proteoglycan 3","GO:0031012;GO:0005576;GO:0072534;GO:0005886;GO:0045202;GO:0005509;GO:0030246;GO:0005540;GO:0007155;GO:0007417;GO:0051823;GO:0001501","GO:0007155;GO:0007417;GO:0051823;GO:0001501","GO:0031012;GO:0005576;GO:0072534;GO:0005886;GO:0045202","GO:0005509;GO:0030246;GO:0005540","GO:0048856;GO:0034330;GO:0048856","anatomical structure development;cell junction organization;anatomical structure development"
"321","PGEN_.00g129770","PGEN_.00g129770",0,0,0,0,0.131531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","PGEN_.00g130310","PGEN_.00g130310",0,0,0,0,0.071665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","PGEN_.00g130640","PGEN_.00g130640",0,0,0,0,8.225223,"P02706",24210,"Asgr1","Asialoglycoprotein receptor 1","Hepatic lectin 1","GO:0009897;GO:0016021;GO:0004873;GO:0030246;GO:0042802;GO:0046872;GO:0031668","GO:0031668","GO:0009897;GO:0016021","GO:0004873;GO:0030246;GO:0042802;GO:0046872",NA,NA
"324","PGEN_.00g130740","PGEN_.00g130740",0,0,0,0,1601.555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","PGEN_.00g131660","PGEN_.00g131660",0,0,0,0,0.086179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","PGEN_.00g131870","PGEN_.00g131870",0,0,0,0,1.377963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","PGEN_.00g132340","PGEN_.00g132340",0,0,0,0,0.469347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","PGEN_.00g132390","PGEN_.00g132390",0,0,0,0,5.053476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","PGEN_.00g132890","PGEN_.00g132890",0,0,0,0,2.824838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","PGEN_.00g133080","PGEN_.00g133080",0,0,0,0,0.346597,"Q9BMK4",NA,"","Phospholipase A2","Api c 1","GO:0005576;GO:0046872;GO:0004623;GO:0050482;GO:0016042;GO:0006644","GO:0050482;GO:0016042;GO:0006644","GO:0005576","GO:0046872;GO:0004623","GO:0006629;GO:0006629","lipid metabolic process;lipid metabolic process"
"331","PGEN_.00g133650","PGEN_.00g133650",0,0,0,0,0.117337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","PGEN_.00g133660","PGEN_.00g133660",0,0,0,0,0.482223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","PGEN_.00g134280","PGEN_.00g134280",0,0,0,0,4.605062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","PGEN_.00g134770","PGEN_.00g134770",0,0,0,0,0.354613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
